	Unnamed: 0.5	Unnamed: 0.4	Unnamed: 0.3	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	año	id_distrito	distrito	id_barrio	barrio	id_uso	uso	num_inmuebles	año_cons_medio	sup_cons	sup_suelo	valor_catastral	nueva_columna
332	332	332	332	332	332	332	2014	5	Chamartín	53	CIUDAD JARDÍN	O	Oficinas	266	1979.0	161611.0		232194434.65	37525174778221.15
333	333	333	333	333	333	333	2014	5	Chamartín	53	CIUDAD JARDÍN	P	Edificio Singular	1	1987.0	12975.0		13111275.07	170118794033.25
334	334	334	334	334	334	334	2014	5	Chamartín	53	CIUDAD JARDÍN	R	Religioso	3	1964.0	7906.0		7425750.75	58707985429.5
335	335	335	335	335	335	335	2014	5	Chamartín	53	CIUDAD JARDÍN	T	Espectáculos	3	1983.0	28606.0		50029703.62	1431149701753.72
336	336	336	336	336	336	336	2014	5	Chamartín	53	CIUDAD JARDÍN	V	Residencial	8693	1966.0	864980.0		1227237365.22	1061535776167995.6
337	337	337	337	337	337	337	2014	5	Chamartín	53	CIUDAD JARDÍN	Y	Sanidad y Beneficencia	6	1971.0	14048.0		19820251.15	278434888155.19995
338	338	338	338	338	338	338	2014	5	Chamartín	54	HISPANOAMÉRICA	A	Almacén-Estacionamiento	6080	1984.0	301374.0		179057528.65	53963283639365.1
339	339	339	339	339	339	339	2014	5	Chamartín	54	HISPANOAMÉRICA	C	Comercial	1185	1967.0	186624.0		346013164.53	64574360817246.71
340	340	340	340	340	340	340	2014	5	Chamartín	54	HISPANOAMÉRICA	E	Cultural	35	1964.0	111655.0		140665817.34	15706041835097.7
341	341	341	341	341	341	341	2014	5	Chamartín	54	HISPANOAMÉRICA	G	Ocio y Hostelería	11	1970.0	54402.0		117129995.31	6372106004854.62
342	342	342	342	342	342	342	2014	5	Chamartín	54	HISPANOAMÉRICA	I	Industrial	18	1972.0	13759.0		15504623.64	213328116662.76
343	343	343	343	343	343	343	2014	5	Chamartín	54	HISPANOAMÉRICA	K	Deportivo	20	1968.0	122742.0		238832933.82	29314831962934.44
344	344	344	344	344	344	344	2014	5	Chamartín	54	HISPANOAMÉRICA	M	Suelos sin edificar, obras de urbanización y jardinería	47			85799.0	12802398.61	
345	345	345	345	345	345	345	2014	5	Chamartín	54	HISPANOAMÉRICA	O	Oficinas	633	1969.0	241114.0		449038042.25	108269358519066.5
346	346	346	346	346	346	346	2014	5	Chamartín	54	HISPANOAMÉRICA	P	Edificio Singular	7	1982.0	212896.0		318701345.92	67850241740984.32
347	347	347	347	347	347	347	2014	5	Chamartín	54	HISPANOAMÉRICA	R	Religioso	10	1969.0	15795.0		18565683.41	293244969460.95
348	348	348	348	348	348	348	2014	5	Chamartín	54	HISPANOAMÉRICA	V	Residencial	13888	1968.0	1807192.0		2940060327.75	5313253503827178.0
349	349	349	349	349	349	349	2014	5	Chamartín	54	HISPANOAMÉRICA	Y	Sanidad y Beneficencia	19	1967.0	73179.0		88518963.06	6477729197767.74
350	350	350	350	350	350	350	2014	5	Chamartín	55	NUEVA ESPAÑA	A	Almacén-Estacionamiento	3366	1972.0	287743.0		175979277.25	50636805173746.75
351	351	351	351	351	351	351	2014	5	Chamartín	55	NUEVA ESPAÑA	C	Comercial	622	1968.0	111199.0		239471052.64	26628941582515.36
352	352	352	352	352	352	352	2014	5	Chamartín	55	NUEVA ESPAÑA	E	Cultural	36	1966.0	129401.0		160032410.2	20708353912290.2
353	353	353	353	353	353	353	2014	5	Chamartín	55	NUEVA ESPAÑA	G	Ocio y Hostelería	5	1978.0	4506.0		10280600.48	46324385762.880005
354	354	354	354	354	354	354	2014	5	Chamartín	55	NUEVA ESPAÑA	I	Industrial	28	1972.0	54054.0		56333546.96	3045053547375.84
355	355	355	355	355	355	355	2014	5	Chamartín	55	NUEVA ESPAÑA	K	Deportivo	21	1980.0	51375.0		56591221.94	2907374027167.5
356	356	356	356	356	356	356	2014	5	Chamartín	55	NUEVA ESPAÑA	M	Suelos sin edificar, obras de urbanización y jardinería	40			94093.0	86930383.15	
357	357	357	357	357	357	357	2014	5	Chamartín	55	NUEVA ESPAÑA	O	Oficinas	676	1970.0	254152.0		479098668.97	121763884916063.44
358	358	358	358	358	358	358	2014	5	Chamartín	55	NUEVA ESPAÑA	P	Edificio Singular	10	1966.0	14568.0		21807691.55	317694450500.4
359	359	359	359	359	359	359	2014	5	Chamartín	55	NUEVA ESPAÑA	R	Religioso	7	1958.0	12460.0		16152444.98	201259464450.8
360	360	360	360	360	360	360	2014	5	Chamartín	55	NUEVA ESPAÑA	V	Residencial	10216	1970.0	1623753.0		2761150733.17	4483426786436987.0
361	361	361	361	361	361	361	2014	5	Chamartín	55	NUEVA ESPAÑA	Y	Sanidad y Beneficencia	14	1980.0	22232.0		34161442.83	759477196996.5599
362	362	362	362	362	362	362	2014	5	Chamartín	56	CASTILLA	A	Almacén-Estacionamiento	5687	1952.0	358283.0		227044089.9	81346037661641.7
363	363	363	363	363	363	363	2014	5	Chamartín	56	CASTILLA	C	Comercial	305	1971.0	131726.0		186734249.56	24597755757540.56
364	364	364	364	364	364	364	2014	5	Chamartín	56	CASTILLA	E	Cultural	11	1974.0	58643.0		54190612.4	3177900082973.2
365	365	365	365	365	365	365	2014	5	Chamartín	56	CASTILLA	G	Ocio y Hostelería	134	1984.0	54910.0		76357516.74	4192791244193.4
366	366	366	366	366	366	366	2014	5	Chamartín	56	CASTILLA	I	Industrial	8	1973.0	53014.0		50158848.39	2659121188547.46
367	367	367	367	367	367	367	2014	5	Chamartín	56	CASTILLA	K	Deportivo	9	1974.0	16897.0		14652376.14	247581199637.58
368	368	368	368	368	368	368	2014	5	Chamartín	56	CASTILLA	M	Suelos sin edificar, obras de urbanización y jardinería	193			315453.0	171416124.4	
